,Sarima,LM,JF,TBATS
5,0.3604582031364536,0.27359548305644743,0.2915458883108272,0.26024188836113643
6,0.7461561101322247,0.2313771851681377,0.2460326735953316,0.21693093428387114
7,0.2530337283145573,0.2087164260062369,0.23044716880129226,0.2089062069405464
8,0.4982672873577221,0.2584293254022563,0.26733502364321354,0.3578906996440407
9,0.5572289333629651,0.2731502543009928,0.2870369685668455,0.3197291451520661
10,0.5575073468691842,0.2646118721374289,0.28969332401561315,0.2586023304914477
11,0.29670392032455606,0.2559749392452043,0.2674917831975618,0.24821395000534846
12,0.30951509423392193,0.26475529965539474,0.2818546738715874,0.2611581074762581
13,0.3001621246191897,0.2396685066610633,0.27706492688029205,0.26653946253439875
14,0.4166932668184485,0.2594123862632645,0.2729368967537728,0.23246187374465904
15,0.40948815052043497,0.2068957712994064,0.2270797645536586,0.1570882510423025
16,0.11664074914147872,0.17674405581042338,0.20079373704717596,0.0912449417973923
17,0.0797516608553258,0.1259649449617412,0.14484402694380025,0.07772431437079537
18,0.18300539146257355,0.15617932714005311,0.16974314689241995,0.15357546160464933
19,0.22178750183186655,0.15853071579218747,0.1610041726518165,0.14565562017559575
20,0.23588529503208594,0.17778994973099932,0.18782301690851386,0.18558732631220268
21,0.36664688207344587,0.21086856667118672,0.2155689646439674,0.21282930498896824
22,0.20312048560050436,0.20701469537735925,0.2135820390683238,0.19375562981024325
23,0.4980051272701049,0.25026581640865325,0.2558152409980089,0.24851438889442135
24,0.3597798278909232,0.2084980703175312,0.2382701163389785,0.20336655278418705
25,0.2543463331485039,0.2513197111080118,0.26887040666830586,0.2718895533394158
26,0.4290170663382253,0.21261635028784884,0.23423058393578586,0.2333035228415995
27,0.3925847766287758,0.21749756015839566,0.2336829276976181,0.2127933088480459
28,0.2919143641013489,0.22741689154365705,0.2459658130751415,0.23155095125027575
29,0.4486644439214318,0.2507327968890298,0.2591383907708068,0.21579401560907172
30,0.28750298147791403,0.21215534551408188,0.22402472381923352,0.2264912774727412
31,0.7382770867786119,0.19865434041868185,0.22054774109711767,0.22023532103272853
32,0.5339652977767736,0.22088755145095929,0.24054686864212135,0.21424113281790266
33,0.4036425513712774,0.2332438912185827,0.2440396114081521,0.2301129561213543
34,0.5288094736152721,0.20377005139516224,0.2204814845308467,0.20258136868828144
35,0.35142068556225003,0.1777651108784013,0.20427378464885199,0.15502242942619274
36,0.3940114264691612,0.178904692325753,0.1952430739389579,0.20728428558481346
37,0.3565526127255651,0.12234860299637708,0.14533578197331162,0.09892555171544523
38,0.13183530008700706,0.11385645160196893,0.14399557515289613,0.1096218135155656
39,0.12815739146185426,0.096402696399447,0.11584541491137047,0.10009168792231536
40,0.12759768266576593,0.08687912837999108,0.09874490283784124,0.08057204851768908
41,0.13433218916835515,0.13036662723445455,0.13535511749225865,0.12844504828939327
42,0.2325798396685924,0.1873820105467849,0.19559146013530812,0.1891315005737164
43,0.12130953618404094,0.10052165080976916,0.10817437520149907,0.09823206420100884
44,0.20556224574410192,0.1398524640721638,0.14832665486564384,0.15494695563979313
45,0.34808948482982016,0.10476309007323517,0.11829748887595648,0.11317633516269415
46,0.2054547810371776,0.10769396471191986,0.12185258599750333,0.106857104545071
47,0.2604716393284416,0.2588647921796778,0.26802790841832386,0.2696998806054807
48,0.5587810764130425,0.23991826670119584,0.2526697640061518,0.2575073927963246
49,0.6470392195178224,0.2163133039886816,0.2297731348294825,0.208262455632933
50,0.23880223280469196,0.20978802464602425,0.2304061932264659,0.20921544157420416
51,0.2896103589907826,0.25433826391127456,0.2755791505816172,0.26026235922452085
52,0.27494815299285313,0.2358866503243368,0.2482368950348433,0.2317039603940863
