,Sarima,LM,JF,Real,TBATS
2018-01-29 00:00:00,0.4880575380997384,0.2919921875,0.19375858347780447,0.20067069108241628,0.4421197879989954
2018-01-29 01:00:00,0.3238481443565434,0.2568359375,0.3237898142508042,0.21868919761080224,0.4324113295640094
2018-01-29 02:00:00,0.2000821183726061,0.23828125,0.19834586731625514,0.6931471805599453,0.4238564741997834
2018-01-29 03:00:00,0.5134153466035212,0.3310546875,0.3237898142508042,0.6931471805599453,0.4163022166911208
2018-01-29 04:00:00,0.5066004263879942,0.341796875,0.3192025304123536,0.6931471805599453,0.4096188408951173
2018-01-29 05:00:00,0.20701850055771695,0.2958984375,0.20058803467031186,0.6931471805599453,0.4036958316727056
2018-01-29 06:00:00,0.3938000276506993,0.326171875,0.3146152463075677,0.20972052711980832,0.3984386004639841
2018-01-29 07:00:00,0.5080430639475662,0.2744140625,0.3146152463075677,0.6931471805599453,0.3937658452284372
2018-01-29 08:00:00,0.3254086602115964,0.291015625,0.19371763007807946,0.20067069108241628,0.3896074083690275
2018-01-29 09:00:00,0.6960402705398341,0.23828125,0.20067069161508674,0.20067069108241628,0.3859025281498093
2018-01-29 10:00:00,0.20356378106088371,0.2392578125,0.31920253014601835,0.20067069108241628,0.38259840300367176
2018-01-29 11:00:00,0.5200880118312905,0.240234375,0.19606274576102428,0.6931471805599453,0.37964900614758573
2018-01-29 12:00:00,0.3918918981030438,0.2919921875,0.3260522727250824,0.20067069108241628,0.3770141016111868
2018-01-29 13:00:00,0.6960402705385084,0.3623046875,0.4423216525154006,0.6931471805599453,0.3746584232502704
2018-01-29 14:00:00,0.6960402705385083,0.3603515625,0.4423216525154006,0.20067069108241628,0.3725509863685329
2018-01-29 15:00:00,0.5741953913694896,0.2939453125,0.31920253014601835,0.20067069108241628,0.3706645078024707
2018-01-29 16:00:00,0.20130428960450591,0.2919921875,0.1960834077766361,0.20972052711980832,0.3689749151748226
2018-01-29 17:00:00,0.38965285481461204,0.330078125,0.3192025298796831,0.6931471805599453,0.3674609298180874
2018-01-29 18:00:00,0.513405867076349,0.2900390625,0.19149612393818544,0.6931471805599453,0.3661037108563177
2018-01-29 19:00:00,0.5114977339836304,0.2421875,0.1938002870228544,0.6931471805599453,0.3648865502951072
2018-01-29 20:00:00,0.3915609879073304,0.3291015625,0.3260522729914176,0.6931471805599453,0.3637946108463754
2018-01-29 21:00:00,0.3884372278115709,0.3466796875,0.3146152463075677,0.20067069108241628,0.3628146997128889
2018-01-29 22:00:00,0.6960402705385083,0.3251953125,0.43773436867695004,0.6931471805599453,0.3619350727592265
2018-01-29 23:00:00,0.3816583778562139,0.34375,0.4445841115223492,0.20067069108241628,0.3611452644641166
2018-01-30 00:00:00,0.4968761947863286,0.384765625,0.4423216522490654,0.20972052711980832,0.360435939832538
2018-01-30 01:00:00,0.4337198172653284,0.349609375,0.20293315062203532,0.6931471805599453,0.35979876508265823
2018-01-30 02:00:00,0.19754379079780965,0.3310546875,0.4423216522490654,0.6931471805599453,0.3592262944422488
2018-01-30 03:00:00,0.5062801121877649,0.423828125,0.4423216525154006,0.20972052711980832,0.35871187081496114
2018-01-30 04:00:00,0.4992129993147605,0.4345703125,0.5654407746184476,0.6931471805599453,0.3582495384271309
2018-01-30 05:00:00,0.2046559477182605,0.388671875,0.446908936087516,0.6931471805599453,0.35783396585512495
2018-01-30 06:00:00,0.27737835668811905,0.4189453125,0.4469089363538513,0.6931471805599453,0.35746037807321274
2018-01-30 07:00:00,0.6261326858172006,0.3671875,0.4423216522490654,0.6931471805599453,0.3571244963617137
2018-01-30 08:00:00,0.43655802443386177,0.3837890625,0.3192025304123536,0.6931471805599453,0.3568224850821479
2018-01-30 09:00:00,0.6958512579970769,0.3310546875,0.18921300291562504,0.6931471805599453,0.35655090446617843
2018-01-30 10:00:00,0.20337476851902087,0.33203125,0.3192025304123536,0.20067069108241628,0.35630666868308386
2018-01-30 11:00:00,0.513212668476403,0.3330078125,0.3214649894193022,0.6931471805599453,0.3560870085501775
2018-01-30 12:00:00,0.3985156079619783,0.3857421875,0.4446258150649556,0.6931471805599453,0.3558894383351342
2018-01-30 13:00:00,0.6958512579965854,0.455078125,0.4423216522490654,0.6931471805599453,0.3557117261711457
2018-01-30 14:00:00,0.6958512579965854,0.453125,0.43773436867695004,0.6931471805599453,0.3555518676672821
2018-01-30 15:00:00,0.4626680020749556,0.3857421875,0.33055689909324304,0.20067069108241628,0.3554080623490985
2018-01-30 16:00:00,0.19905061818839948,0.3857421875,0.5700280584568983,0.6931471805599453,0.3552786926097964
2018-01-30 17:00:00,0.3942305907523351,0.4228515625,0.3260522729914176,0.6931471805599453,0.35516230489128514
2018-01-30 18:00:00,0.5062765967147889,0.3837890625,0.20293315115470575,0.20067069108241628,0.35505759284825145
2018-01-30 19:00:00,0.6274138466739649,0.3349609375,0.3214649891553664,0.3364722255070015,0.3549633822776245
2018-01-30 20:00:00,0.27309334079315906,0.421875,0.3168777053169157,0.6931471805599453,0.3548786176212937
2018-01-30 21:00:00,0.3972344470104961,0.4384765625,0.6931471805599453,0.20067069108241628,0.3548023498721392
2018-01-30 22:00:00,0.6958512579965853,0.41796875,0.3169194088571227,0.20972052711980832,0.35473372573284345
2018-01-30 23:00:00,0.3842612772328672,0.4365234375,0.4377343686769499,0.6931471805599453,0.35467197789395666
2018-01-31 00:00:00,0.4119236074352277,0.2490234375,0.19608340830930654,0.6931471805599453,0.3546164163126171
2018-01-31 01:00:00,0.3443884391914491,0.2138671875,0.19608340804297134,0.20067069108241628,0.3545664203864586
