,Sarima,LM,JF,Real,TBATS
2018-01-29 00:00:00,0.6685599914708243,0.5859375,0.531861557451297,0.6540658304991771,0.6505316996364607
2018-01-29 01:00:00,0.6215678070276685,0.484375,0.515362375924854,0.6540658304991771,0.615324041061452
2018-01-29 02:00:00,0.5890488680806544,0.4609375,0.486399402603288,0.6058189969560355,0.5743491974934489
2018-01-29 03:00:00,0.5699207122839685,0.484375,0.4692957670733857,0.5571238853234473,0.5601027906833657
2018-01-29 04:00:00,0.5530143961600088,0.484375,0.47747969731899,0.5846846848996491,0.5589472620274504
2018-01-29 05:00:00,0.5836004061883714,0.5,0.4598249672275133,0.5491078103525006,0.5474690276565474
2018-01-29 06:00:00,0.604635937094103,0.515625,0.5041391107680275,0.6431367599904122,0.5881565291871172
2018-01-29 07:00:00,0.6235100603154637,0.5625,0.5343074399242393,0.6737974123965881,0.6342201972450363
2018-01-29 08:00:00,0.6369921929695599,0.5625,0.5314766757190197,0.6702386897873176,0.6293759671891476
2018-01-29 09:00:00,0.6498870171662192,0.5625,0.5497123182674287,0.684398218360383,0.6452181097169736
2018-01-29 10:00:00,0.6498951995685096,0.578125,0.5636925157494769,0.6931471805599453,0.6586021454944604
2018-01-29 11:00:00,0.6625803875772661,0.6015625,0.5654407746184477,0.6931471805599453,0.6714488023508225
2018-01-29 12:00:00,0.6705197992006041,0.640625,0.5654407746184477,0.6931471805599453,0.6893239695135267
2018-01-29 13:00:00,0.6935472119927418,0.640625,0.5552171278296885,0.6931471805599453,0.6925583811815403
2018-01-29 14:00:00,0.6935471690605001,0.6484375,0.5654407746184477,0.6931471805599453,0.6988105448808005
2018-01-29 15:00:00,0.6935471507086978,0.625,0.5654407746184477,0.6931471805599453,0.6840120867958236
2018-01-29 16:00:00,0.6935471428640423,0.640625,0.5654407746184477,0.6931471805599453,0.6892005424829194
2018-01-29 17:00:00,0.6935471395107684,0.640625,0.6510270542168988,0.6931471805599453,0.7049250084547227
2018-01-29 18:00:00,0.693547138077379,0.65625,0.5654407746184477,0.6931471805599453,0.7004892073056302
2018-01-29 19:00:00,0.6935471374646629,0.671875,0.6515419874491586,0.6931471805599453,0.7112373836833826
2018-01-29 20:00:00,0.6935471372027513,0.640625,0.6535911792605075,0.6931471805599453,0.7125044148296011
2018-01-29 21:00:00,0.6935471370907947,0.640625,0.6505110581553893,0.6931471805599453,0.7029137710477081
2018-01-29 22:00:00,0.6817720694163057,0.625,0.5654407746184477,0.6931471805599453,0.68909459157999
2018-01-29 23:00:00,0.6772642140649058,0.609375,0.5456628717183213,0.6931471805599453,0.672017974143569
2018-01-30 00:00:00,0.6560660006358513,0.5859375,0.515632229735449,0.6648767466319049,0.6569144821205729
2018-01-30 01:00:00,0.6258825846346617,0.484375,0.48587377120545594,0.6077183327828797,0.625926608295859
2018-01-30 02:00:00,0.5964265773332228,0.4609375,0.4709408507393609,0.5807936294150471,0.5886282434781457
2018-01-30 03:00:00,0.573511960030685,0.484375,0.459396216727284,0.5788424092599649,0.5776154051401048
2018-01-30 04:00:00,0.5522749682704972,0.484375,0.4821264992717088,0.5807936294150471,0.5793291710500752
2018-01-30 05:00:00,0.5780186556798234,0.5,0.468657328072154,0.5571238853234473,0.5704171454172128
2018-01-30 06:00:00,0.6083634218686267,0.515625,0.5051277079589604,0.6133947908025841,0.6134149766266419
2018-01-30 07:00:00,0.6174143267560803,0.5625,0.5455495282015304,0.6773435153956694,0.6615691134238448
2018-01-30 08:00:00,0.6340734770463367,0.5625,0.5495705339172137,0.691403500933827,0.6586225745409562
2018-01-30 09:00:00,0.6468228642475897,0.5625,0.5592676214714798,0.6808770879693655,0.6761896026549671
2018-01-30 10:00:00,0.6343534060454464,0.578125,0.5566585831369033,0.6931471805599453,0.6911400581318627
2018-01-30 11:00:00,0.6655343224105726,0.6015625,0.563253534068557,0.6931471805599453,0.7054045798877806
2018-01-30 12:00:00,0.6782078884201251,0.640625,0.6458148647560016,0.6931471805599453,0.7245555226120441
2018-01-30 13:00:00,0.6927387968624685,0.640625,0.6602213507328815,0.6684545679720738,0.7289274462047204
2018-01-30 14:00:00,0.6927387726875632,0.6484375,0.6626101933738868,0.6931471805599453,0.736180707459127
2018-01-30 15:00:00,0.6927387623537659,0.625,0.5654407746184477,0.6931471805599453,0.7222473536027754
2018-01-30 16:00:00,0.6927387579364842,0.640625,0.5654407746184477,0.6931471805599453,0.7281643677989722
2018-01-30 17:00:00,0.6927387560482745,0.640625,0.6535911792605075,0.6931471805599453,0.7444796992311873
2018-01-30 18:00:00,0.6927387552411408,0.65625,0.6566338131590175,0.6931471805599453,0.7404956439374756
2018-01-30 19:00:00,0.6927387548961237,0.671875,0.6601373740024039,0.6931471805599453,0.7515550043097224
2018-01-30 20:00:00,0.6927387547486429,0.640625,0.6561292721282869,0.6931471805599453,0.7529914193015826
2018-01-30 21:00:00,0.6927387546856006,0.640625,0.6505110581553893,0.6931471805599453,0.7434275072182129
2018-01-30 22:00:00,0.6734067381692784,0.625,0.6438558380569475,0.6931471805599453,0.7294920916654104
2018-01-30 23:00:00,0.6673177274256853,0.609375,0.6332293461072429,0.6896567756276943,0.7121566128966942
2018-01-31 00:00:00,0.6655608765717238,0.6015625,0.6207256435186123,0.6648767466319049,0.6966527316859921
2018-01-31 01:00:00,0.6309910969455897,0.5,0.5771052458355418,0.6020094685474897,0.6651248670967471
2018-01-31 02:00:00,0.5982559956961896,0.4765625,0.4947644952396956,0.6320869237746249,0.6271497184676144
